ID,label,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device
8145,churned,16,70.03027325,1441,126,95,268.7464959,205.3065448,16,15,Android
4585,retained,112,295.1661199,1970,0,0,269.5129885,179.0630207,21,19,iPhone
3827,retained,239,556.6087787,2632,5,109,273.4977403,128.0545638,10,3,iPhone
2633,retained,53,107.1889262,2004,256,0,281.2265726,225.2704138,15,11,iPhone
8747,retained,41,108.4320204,1907,431,0,282.2112671,175.4376814,3,3,iPhone
10161,retained,75,165.4261167,1873,253,88,291.4314403,202.5697699,22,13,Android
12605,retained,28,64.89301921,2558,229,108,310.94723,185.9490012,9,9,iPhone
12771,retained,21,156.6887566,2539,0,45,317.0701331,165.6334435,15,11,Android
2872,retained,169,294.2868067,1902,131,0,329.6215461,220.8204861,15,14,Android
11623,retained,17,181.0767513,1338,3,0,337.9751402,214.9293446,11,7,Android
1037,retained,49,123.204213,2746,13,43,340.528643,162.0311573,19,14,iPhone
6717,retained,52,104.0099898,3346,176,38,342.737371,190.3538451,22,15,iPhone
1408,retained,34,71.74177103,2438,26,0,347.7103923,263.6127947,10,10,iPhone
58,retained,35,125.7867257,2193,304,0,351.6341884,243.7716509,11,9,iPhone
13063,retained,234,338.635681,1615,26,0,372.072815,181.382897,5,2,Android
7708,retained,65,113.693651,3398,135,17,373.2712792,134.665062,7,6,iPhone
427,retained,6,326.9143746,2411,72,39,381.5096911,171.1758635,30,25,iPhone
2692,churned,82,263.3171321,744,0,0,390.6987455,214.2795766,1,1,Android
6997,retained,31,229.9195491,2048,35,1,395.9339629,207.5153088,10,6,iPhone
2835,retained,84,174.4103035,2342,0,43,406.0927846,127.8209575,9,9,iPhone
2287,retained,11,208.4563362,2286,79,0,410.7691247,283.4853669,26,26,iPhone
14890,retained,17,242.2986138,1473,151,111,411.73019,300.6479674,6,2,iPhone
2743,retained,17,126.0549093,2747,164,28,411.753299,161.1124025,4,4,Android
5603,churned,78,440.1580043,1607,51,0,414.6462343,155.7213025,13,10,iPhone
7394,retained,44,172.3481454,2819,105,0,422.7820372,340.9517274,26,16,iPhone
6313,retained,2,575.1318349,1768,16,94,423.1764247,176.3423845,3,3,iPhone
4386,churned,176,372.7732059,738,232,62,423.1867054,180.7605586,26,21,Android
6461,retained,46,144.4008105,942,11,0,430.3869919,185.6148757,29,24,Android
13553,churned,21,183.1260131,2146,160,35,432.6840637,292.7388881,10,3,Android
8804,retained,99,195.7615897,1935,495,55,436.0335763,359.4964079,29,22,iPhone
4107,retained,38,152.340308,1391,371,0,436.8606813,301.3645753,3,3,Android
3081,retained,21,155.2413321,817,273,0,437.4443385,306.8337649,21,19,Android
13734,retained,33,148.1773837,3396,378,2,437.5079604,319.0411717,23,19,Android
1160,retained,177,572.2075464,1687,297,0,440.4071982,201.2117227,25,15,iPhone
1419,retained,88,328.2981374,3436,606,105,441.8550407,223.5957745,22,18,iPhone
2438,retained,34,51.1359673,1395,63,0,444.8773516,329.6628652,13,9,Android
6073,retained,95,311.4555668,3260,0,117,445.1124532,226.6475981,7,5,Android
6505,retained,41,177.1227698,3019,259,3,448.856911,341.1329223,21,18,iPhone
9050,retained,26,108.6094368,2909,0,0,467.8102463,377.5648132,18,16,iPhone
10395,retained,19,476.9221891,2204,523,43,468.0671016,208.0576265,28,24,iPhone
14018,churned,47,141.0779906,2141,81,90,468.3083655,171.814288,1,1,Android
6031,retained,176,232.0245466,3145,42,0,477.6929712,321.2083146,19,12,iPhone
4773,churned,120,169.9932211,732,159,0,479.9050914,389.9448688,29,19,Android
1322,retained,2,58.9808538,972,45,0,485.8821424,173.9840847,26,23,Android
6102,retained,103,143.5150149,1568,193,87,487.8662949,319.3959768,21,15,Android
10888,retained,112,155.3307526,817,163,1,492.1240773,253.5301201,30,21,iPhone
855,churned,65,112.962934,1021,346,0,499.5686528,296.3169184,4,3,iPhone
12789,retained,101,194.1325151,1954,0,0,504.9300648,239.9959312,25,17,Android
14511,retained,26,58.58832175,1424,55,0,506.1476382,413.9197497,17,17,Android
8570,churned,76,200.2293111,2770,42,7,510.0376594,349.6187421,28,18,iPhone
8592,retained,92,448.9472396,3399,153,64,511.0425273,424.4229574,9,4,iPhone
8285,retained,12,59.54097579,2756,128,0,511.3440534,184.6465096,11,11,Android
7718,retained,157,225.787283,2244,90,102,511.8752763,234.2053506,20,19,iPhone
9881,retained,28,558.062411,2851,414,7,515.8695272,181.4274329,3,3,Android
9606,retained,46,97.52894126,3002,108,0,516.2347793,281.5323293,22,17,iPhone
3894,retained,93,610.6217016,831,0,164,519.1105768,285.8728556,14,13,iPhone
12874,retained,22,126.7514641,3244,116,0,520.1462715,418.7835751,24,22,Android
10683,churned,38,631.8032789,918,282,0,520.8548199,398.9203876,19,14,iPhone
14870,retained,20,222.7350512,3345,184,0,521.5475251,132.2748059,8,4,iPhone
7400,retained,103,210.3599377,3267,86,11,521.859005,416.9490217,7,6,Android
11084,retained,13,74.87091049,754,0,31,524.1121787,401.7107262,18,14,iPhone
11262,retained,65,311.2181647,1679,70,31,526.4301099,299.3753834,10,6,iPhone
8961,churned,256,617.5976831,2572,136,56,529.5620565,383.0663935,2,2,iPhone
10577,retained,22,278.0115065,2286,107,0,531.0504969,348.4599343,21,21,iPhone
14763,retained,1,80.97670061,1085,100,39,536.2043724,313.9696171,19,19,Android
943,retained,58,186.6062527,1280,364,156,536.7503002,257.8839764,26,23,Android
2679,retained,203,283.4088704,3042,22,79,537.9674963,167.3596309,6,6,iPhone
195,retained,64,94.32008442,1364,374,75,541.5097616,242.0482374,29,23,Android
2008,retained,50,113.9823307,2519,13,0,544.3984845,316.2983567,14,8,iPhone
12056,retained,34,123.490825,1691,0,70,548.0314141,330.6500313,10,9,iPhone
2213,retained,48,81.22179888,2254,379,0,549.4864038,428.8587416,22,16,Android
6716,retained,10,62.14847923,958,0,47,550.2531736,222.4599737,19,17,iPhone
6623,retained,61,77.00748017,2521,206,0,552.6335055,175.4125019,15,9,iPhone
8458,retained,33,102.6030469,2961,155,75,556.3364971,201.5571342,16,13,Android
13310,churned,55,178.8558968,2471,61,181,556.6899945,462.7803346,11,11,iPhone
1939,churned,166,423.9649942,885,0,98,559.2692882,306.4510928,24,21,iPhone
804,retained,336,435.9527651,1493,137,3,560.9062442,364.8726667,21,15,Android
7804,retained,23,84.83965182,2836,395,163,561.4389442,409.1075312,23,16,Android
2589,retained,96,362.7893142,2988,7,108,566.1503012,400.5520184,12,12,Android
10522,retained,21,105.2436222,1680,0,0,568.8245447,418.931769,7,7,iPhone
13503,retained,33,181.9238244,2432,67,0,573.8203969,374.6355227,24,17,iPhone
7388,retained,197,298.6212101,1222,374,26,574.0250526,176.8783577,18,10,iPhone
5436,retained,40,94.05304222,2200,24,0,574.0417223,208.306809,18,14,Android
5964,retained,54,69.30419764,3010,66,0,578.1572822,471.7387742,31,23,Android
2610,retained,28,167.9433704,1282,87,6,579.6196262,289.3508114,17,14,Android
11832,retained,141,229.5522319,1693,264,13,580.0687444,429.8964811,23,22,Android
9653,retained,21,68.3237426,1402,734,15,580.7883437,457.2064788,15,7,iPhone
3768,retained,16,82.83959903,2595,37,30,586.8788183,186.2544171,23,21,iPhone
7890,retained,105,166.0068377,2637,47,91,588.7005549,460.1346892,28,22,Android
4930,retained,74,116.7293493,1532,123,0,589.5422838,481.1803946,1,1,iPhone
7481,retained,67,286.995986,2877,105,0,591.3490687,324.7786808,29,27,iPhone
14458,retained,20,51.43280568,1611,192,50,592.9284823,318.8078743,4,2,iPhone
12615,retained,28,73.3484068,3314,88,19,593.3380884,337.671502,14,7,iPhone
359,retained,5,366.6010412,1807,0,0,595.251527,495.7872984,19,17,iPhone
11348,retained,5,360.4381649,2697,79,0,602.3948278,169.3401391,13,13,iPhone
8784,retained,9,219.4484826,928,76,26,605.1112719,147.2725602,14,9,iPhone
6816,retained,109,191.4094792,2555,53,0,606.0650684,336.527157,3,2,iPhone
11526,retained,39,71.42733873,1139,0,34,609.5648702,473.7063323,30,27,Android
6061,retained,282,363.9509068,2321,40,6,613.631564,474.1444856,27,25,Android
11320,retained,54,156.6173696,1700,29,23,614.9109174,480.8897879,17,17,Android
8465,retained,14,117.7272851,2463,127,84,617.675847,402.2750452,27,18,Android
1702,retained,57,154.9859221,3338,17,0,619.2676368,299.48512,15,14,iPhone
1206,retained,14,193.6623603,1575,281,25,621.609594,503.6780817,4,4,Android
7196,retained,27,64.01859175,2285,185,79,626.1638734,502.9598439,24,20,iPhone
5852,retained,14,148.3877669,3109,30,0,627.3402731,299.3313853,16,11,Android
12803,retained,65,217.2465385,1900,71,0,627.9647075,437.0936111,24,22,iPhone
44,retained,22,132.0307891,921,272,7,632.1399703,420.7125087,30,24,Android
7771,churned,83,162.7908374,3113,74,0,633.0859211,255.800754,1,1,Android
1748,retained,92,135.6438689,1316,248,41,634.8285044,276.9896352,7,7,iPhone
2553,retained,43,304.4582433,1289,324,0,635.3088224,264.0176477,18,13,iPhone
9374,retained,268,367.2134018,3142,0,0,639.2071829,457.1006035,30,21,iPhone
10388,retained,5,50.8504969,2311,142,0,639.9578358,263.8905852,17,9,iPhone
5291,retained,43,294.6162228,1461,262,0,642.3960728,502.6128641,18,18,iPhone
10890,retained,54,394.4360752,1596,22,190,645.0526973,139.2686121,31,26,iPhone
1247,churned,23,387.1836048,3370,179,0,649.1363248,368.3859766,6,3,Android
8835,churned,83,472.5713181,2017,0,42,652.7520544,224.9494579,8,8,iPhone
6306,retained,3,137.2385732,2777,24,0,653.0753532,538.9227752,23,14,Android
12681,retained,81,855.1687029,1276,52,0,654.5602056,406.354971,26,21,iPhone
12933,retained,241,393.6908478,3409,0,2,657.5392762,161.7737276,30,19,iPhone
4246,churned,8,125.1992256,3168,0,11,668.4841342,517.8328252,8,5,Android
6125,retained,34,108.4905195,2715,94,118,669.3512435,492.0235794,12,10,iPhone
6889,churned,19,157.9508299,1481,223,0,670.3671146,326.7785948,5,5,Android
10151,retained,188,428.9436525,1815,20,45,670.5471943,433.4329739,21,21,iPhone
14464,retained,28,118.2302839,1778,31,0,673.2601968,355.2984671,16,16,Android
13504,retained,45,143.2413255,2179,131,33,678.5518737,242.457968,6,2,Android
14531,retained,74,198.678078,3292,107,55,680.2119319,456.0919752,27,19,Android
14747,retained,86,120.1587552,2400,427,139,680.4455572,426.2008688,3,3,iPhone
8187,retained,41,51.94439364,1783,2,0,682.1866857,549.8901983,20,11,Android
4716,retained,46,89.94619392,1718,0,141,682.3838045,482.0796405,29,27,iPhone
12064,retained,41,52.44177232,1019,104,3,683.0419834,459.5575056,13,7,Android
11403,retained,100,145.2827664,1334,212,36,683.114221,195.7083961,12,10,Android
7920,retained,43,65.66825971,3015,84,0,684.5965428,207.1646454,21,20,iPhone
13249,retained,23,90.37071098,3153,0,164,687.1583063,416.3119387,17,16,iPhone
12484,retained,31,150.9430114,2847,98,92,687.170826,403.6168571,6,5,iPhone
5016,retained,96,122.2524247,2736,15,56,689.9787135,381.0502137,26,18,Android
8118,retained,24,128.2519294,852,0,31,693.654049,223.6685952,9,7,Android
7155,retained,242,383.0619844,3165,116,21,694.2447553,431.4901771,14,10,Android
4489,retained,78,99.10340023,1650,130,0,696.550783,385.5039437,24,20,iPhone
6670,retained,27,57.25482654,2853,66,0,697.4539857,222.3549681,19,17,iPhone
663,retained,249,412.9782532,1736,110,2,698.4125466,462.5533659,19,13,iPhone
9500,churned,25,89.89079452,2435,0,0,701.6320754,578.176015,11,11,iPhone
14019,retained,25,177.7606391,2627,305,37,703.564455,396.9841208,4,4,iPhone
11967,retained,265,442.2326001,2150,0,0,704.0823358,470.9634341,12,9,iPhone
1561,retained,76,214.922107,2432,185,0,705.0636435,519.9561303,21,18,iPhone
8364,retained,21,233.8058785,1815,0,0,705.4202215,412.3591861,31,27,iPhone
12274,retained,6,64.59533982,2629,0,46,706.0672765,225.9920462,21,15,iPhone
14275,retained,71,221.9142696,1584,511,73,706.3604264,465.6479351,17,12,iPhone
6230,retained,18,128.3868758,2819,31,40,706.7960703,563.2833345,17,17,iPhone
6762,churned,38,346.6017274,2057,39,0,709.6241191,208.6880177,19,17,iPhone
6532,churned,18,235.9092458,1057,317,0,710.5628643,346.9489928,6,6,Android
5977,retained,202,265.5472565,3105,131,0,711.6408804,532.017602,31,25,iPhone
7355,retained,68,175.0156311,934,355,16,716.0705885,505.8875035,2,2,iPhone
830,retained,103,232.7157622,1345,85,6,716.6819347,305.5751238,30,25,Android
2998,retained,41,215.8291713,1986,8,93,718.177081,218.2302121,10,10,iPhone
9730,retained,178,257.2817154,2407,90,0,721.2296127,592.1240198,6,3,Android
10334,retained,24,237.5761521,2138,365,96,723.9691966,599.1198007,17,16,Android
13529,churned,89,142.388832,1505,73,41,725.6306191,385.7559471,22,20,Android
2916,retained,54,142.1642468,3378,414,0,733.3927654,179.1086311,27,25,Android
8828,retained,62,191.3949207,2965,0,0,734.4394843,324.7349618,25,24,Android
14348,retained,64,140.8407747,2861,43,3,735.2750863,552.4779518,16,10,iPhone
12796,retained,100,161.9701221,1706,0,16,735.9879458,441.3256796,26,17,iPhone
14126,retained,35,228.1731962,1003,0,87,737.1882446,559.8986823,17,13,Android
2146,retained,139,176.0936453,2376,104,36,740.2328821,543.8651182,12,12,iPhone
8443,retained,59,232.8713991,1308,0,12,741.0426056,493.4622212,25,15,Android
2434,retained,27,94.00822692,2976,244,46,741.4363132,292.6906683,28,26,iPhone
7633,retained,69,224.2148441,2171,61,15,743.5334215,258.2692823,23,16,Android
13468,retained,251,531.2917593,850,3,150,743.7765011,479.7157744,25,20,iPhone
4900,churned,3,52.31637583,2468,47,1,744.5415719,347.5466626,10,6,iPhone
4136,retained,21,215.5473289,2051,3,0,744.6575532,382.1205399,7,7,iPhone
6289,retained,60,293.1708437,1750,139,67,745.706548,357.5941123,10,10,iPhone
10241,retained,35,225.5992211,3122,28,0,747.7290472,311.5506766,24,19,iPhone
12863,retained,105,145.0956569,2260,378,27,748.5889094,519.5020788,26,20,iPhone
3758,retained,8,279.1577528,2576,387,12,751.9816078,437.1413625,28,25,iPhone
1896,retained,66,96.23470825,1440,28,5,753.1694304,563.7406774,21,18,iPhone
3570,retained,24,79.99265469,3146,438,0,754.6235086,514.1363929,15,13,Android
7945,retained,29,177.0315751,1277,507,0,759.3914668,483.3808953,18,12,iPhone
14340,retained,24,57.89020132,3176,92,0,759.460572,474.6291548,2,2,Android
12155,retained,82,101.8619206,2103,416,0,759.8877021,257.5221817,23,14,Android
725,churned,108,159.92912,1442,27,0,760.356521,544.5400499,20,13,iPhone
5735,retained,274,464.6649335,2099,21,0,760.4864043,478.9288653,3,3,iPhone
10708,retained,29,275.3993601,2849,165,4,761.7320036,498.1485919,22,19,iPhone
1199,retained,141,221.4476467,2317,78,0,761.9637178,156.5927831,22,15,iPhone
12024,retained,57,99.31867488,787,0,98,763.1079732,477.5726062,21,14,Android
4882,retained,31,431.2892065,3234,41,0,763.4477756,249.1922353,30,26,Android
12786,retained,19,99.44798571,2584,1,2,763.5522586,439.8065801,14,13,iPhone
8671,retained,32,61.05240899,1559,115,0,766.2682232,356.2568335,10,8,iPhone
11023,retained,62,131.9663152,1206,40,7,770.2640374,568.2338589,29,28,iPhone
4976,retained,27,91.20093488,1910,0,22,770.7773147,405.992446,6,6,iPhone
3144,retained,46,77.95890033,1689,2,167,771.3354732,445.195543,21,21,iPhone
3430,retained,5,290.8976363,1113,27,3,773.5941953,476.3833363,11,6,iPhone
12637,retained,48,157.3728684,2684,133,159,775.7472652,515.7416698,24,23,iPhone
9337,retained,12,76.85389249,3136,37,21,776.1067681,271.2820999,20,20,Android
2200,retained,15,82.62440421,3372,110,0,776.9218274,215.2414926,5,5,iPhone
14554,retained,4,84.33313843,2352,63,0,777.2068746,447.6028111,14,14,iPhone
9847,retained,154,506.1720021,2412,36,11,779.7381684,523.4151352,25,23,iPhone
4693,retained,62,135.4845026,2423,3,0,780.5606994,504.1308596,18,17,iPhone
695,retained,95,198.4113218,1813,58,0,780.6807165,647.1239605,15,14,iPhone
12400,retained,87,162.4981054,2135,206,93,781.6821314,273.242581,24,16,Android
11386,retained,57,227.8204753,2531,166,32,783.0212032,450.6652275,29,27,iPhone
10245,retained,95,294.865949,1815,60,13,786.3898502,173.7338984,6,4,iPhone
5240,retained,81,147.1301309,3315,0,23,789.1903103,488.0199855,21,17,Android
13634,retained,179,249.122184,2817,117,46,790.1124733,557.2929893,21,14,iPhone
4300,retained,163,369.7753916,2940,62,79,791.3269358,463.2381378,24,20,iPhone
387,retained,93,399.5536536,2010,4,28,791.9948649,526.9656559,23,14,iPhone
113,retained,73,168.251515,3045,198,187,792.4761859,490.3170508,21,13,Android
11656,retained,53,125.3978186,2900,169,0,792.7349615,590.5653374,27,23,Android
7193,churned,47,97.27271234,1511,0,82,793.9650595,545.7776917,17,17,iPhone
7442,retained,116,183.4326136,809,46,2,795.5189535,408.8349484,17,14,Android
10064,retained,159,293.0603253,1681,103,0,797.6140773,190.3125212,4,4,Android
6942,retained,147,283.1111386,2395,0,51,798.6427752,417.257083,30,20,Android
13639,retained,2,317.8327368,3377,187,18,802.5224723,646.6849273,6,1,iPhone
14639,retained,81,130.9958492,3018,66,39,805.9255643,650.2733824,15,15,Android
11856,retained,42,61.95691859,1258,0,55,807.4262406,403.3163289,25,24,iPhone
4109,churned,87,292.687545,1223,255,231,808.0673415,655.3037939,4,4,iPhone
3068,retained,26,327.6853733,905,69,53,810.3966092,556.8705009,1,1,Android
9147,retained,102,492.6413679,2164,80,0,811.2933656,666.8597955,3,3,Android
11294,retained,167,222.8029585,825,156,63,812.6884055,163.6125034,24,14,iPhone
5237,retained,1,160.7317156,1164,167,106,813.6730183,544.6839041,27,19,iPhone
1458,retained,100,172.6899901,942,33,0,814.760733,597.591354,26,22,Android
3325,retained,99,188.7078835,2914,0,9,818.4458005,656.6546462,27,20,Android
5455,retained,14,107.5620741,2767,114,79,819.2416009,169.8531652,12,7,iPhone
6957,retained,24,135.5933009,948,409,16,819.2894044,382.0577286,11,11,iPhone
2197,retained,34,82.79456042,1214,93,42,819.6280227,534.8513403,27,18,iPhone
853,retained,86,154.9110275,3489,294,0,819.964132,515.4173404,5,5,iPhone
2218,retained,13,648.5877321,2535,414,0,820.5172697,314.1001767,11,7,Android
8936,retained,16,440.5190788,2965,93,41,824.2601104,155.3645639,9,6,iPhone
12287,retained,36,67.79596732,1073,119,8,825.5684028,596.2258957,19,14,iPhone
4560,retained,13,186.8841968,3067,0,20,825.6852564,458.9809683,20,17,Android
8958,churned,85,119.8385046,3024,0,19,826.4505318,537.4700587,15,13,iPhone
8866,retained,6,86.89144264,1678,0,0,827.9722018,569.0051078,13,12,Android
10520,retained,14,51.38965193,2025,0,0,829.2515295,557.6240124,25,16,Android
1124,retained,130,237.4689566,1313,30,0,830.9215396,574.7590034,23,16,iPhone
5937,churned,169,416.632092,1101,723,31,831.8396307,689.1954645,10,7,iPhone
9113,retained,30,258.5927512,2984,73,4,831.8931924,464.1742606,10,7,iPhone
7610,churned,95,203.7792975,1160,159,0,832.6104063,562.5831168,4,1,iPhone
837,retained,5,196.2622674,1299,13,2,832.8182879,491.867653,29,22,iPhone
10726,churned,34,306.1237964,1348,54,37,834.3156698,612.5659059,4,4,Android
1890,retained,134,403.5510796,3143,258,56,835.2519251,573.2437237,11,6,Android
605,retained,57,207.8427383,2560,140,88,835.8121483,181.2159143,13,13,iPhone
9299,retained,1,79.22155677,763,441,0,838.9641952,531.8678917,15,15,iPhone
5011,retained,33,123.7545159,3002,174,0,841.5399825,602.7004423,30,19,iPhone
3291,retained,36,102.0269518,2289,554,0,841.9661523,468.5392802,25,24,Android
14051,retained,18,312.3948653,1864,0,42,842.8791686,441.0402267,25,22,Android
4280,retained,21,67.44859739,2575,141,0,844.1414324,253.2999541,22,16,iPhone
7757,retained,63,102.0852104,2080,2,60,846.969482,138.6558999,24,21,iPhone
5906,retained,31,464.9636032,1890,392,0,847.2235302,255.9367639,18,15,iPhone
2950,retained,56,256.1144963,3494,53,72,847.8259592,387.4700468,6,6,iPhone
10199,retained,61,142.7434338,2240,51,50,848.7386408,570.3437973,4,1,iPhone
9960,retained,70,123.101348,792,11,132,849.2519934,602.7924089,12,7,Android
7350,churned,17,211.3841851,1404,174,5,851.2162759,375.9709679,2,2,iPhone
1541,retained,50,120.6822492,2824,12,2,851.2315241,667.4155063,3,3,iPhone
9942,retained,75,101.0945444,3172,149,0,851.7872818,358.7496803,18,14,Android
9520,retained,99,236.8112577,3235,188,28,852.8162338,293.9982414,31,27,iPhone
146,retained,72,187.9245034,2507,43,28,854.3864466,619.1899061,25,22,iPhone
8681,retained,18,763.5349701,1426,92,0,856.3632461,314.0245459,10,5,iPhone
9590,retained,103,254.7237925,3422,326,24,859.7208386,516.3672706,24,22,Android
13707,retained,86,160.5029459,2877,15,16,860.6238446,450.1039548,27,26,iPhone
14404,churned,120,246.3590319,1166,496,2,863.0455933,239.5219512,14,9,iPhone
5565,retained,16,133.9156407,2625,0,25,863.4674675,705.0376184,13,8,Android
7828,retained,86,304.4976251,3080,50,0,863.6954475,633.881822,25,25,iPhone
1744,retained,205,277.9413433,2734,150,0,863.758886,671.0718564,24,20,iPhone
12464,churned,61,145.1775768,2670,23,89,864.014719,340.9390982,3,3,iPhone
5515,retained,77,111.2405971,2894,0,0,865.0707797,549.5613573,11,4,iPhone
12596,churned,184,386.5350661,3435,135,0,866.9760564,646.0730209,19,15,Android
4258,retained,26,60.04049136,3024,347,108,867.7860486,626.0046217,14,11,iPhone
479,retained,16,160.793362,1313,22,0,869.2379509,461.4121111,30,19,iPhone
6508,retained,23,292.6506239,1018,0,0,869.2445401,541.0897383,20,11,iPhone
3877,retained,154,288.3574803,2204,0,39,869.2886952,624.9160366,31,24,iPhone
13066,retained,27,134.4961028,1307,0,0,869.7553908,503.7757257,23,14,Android
1067,retained,205,242.1444845,2240,0,49,870.537209,452.9913463,17,17,iPhone
13512,churned,20,128.6567355,1904,27,43,871.7303887,589.7240546,17,13,iPhone
6244,retained,15,50.73822946,1691,128,21,872.7195514,212.7479964,20,11,iPhone
3506,retained,74,121.3683072,2852,308,3,873.8467517,230.0563685,4,4,Android
10455,retained,160,269.7031146,3199,475,0,876.6585183,381.8819674,29,25,iPhone
11298,churned,50,74.55761278,1647,331,86,877.8800658,640.4276295,8,3,iPhone
